county,JP_court,case_type,date_range,num_reports_submitted,active_pending_start_date,reactivated,added,disposed,placed_on_inactive_status,active_pending_end_date,source
Bastrop,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,188,0,131,151,0,168,"AOC Statistical Report, FY2015"
Bastrop,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,53,0,116,130,0,40,"AOC Statistical Report, FY2015"
Bastrop,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,1767,0,166,152,0,1771,"AOC Statistical Report, FY2015"
Baylor,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,174,0,9,33,0,149,"AOC Statistical Report, FY2015"
Baylor,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,106,0,12,13,0,105,"AOC Statistical Report, FY2015"
Bee,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,511,0,65,62,1,481,"AOC Statistical Report, FY2015"
Bee,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,10,0,45,45,0,11,"AOC Statistical Report, FY2015"
Bee,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,200,0,37,27,0,209,"AOC Statistical Report, FY2015"
Bee,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,87,0,74,56,0,96,"AOC Statistical Report, FY2015"
Bell,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,198,0,501,558,0,137,"AOC Statistical Report, FY2015"
Bell,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,52,0,66,64,20,0,"AOC Statistical Report, FY2015"
Bell,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,336,0,601,601,0,304,"AOC Statistical Report, FY2015"
Bell,Precinct 3 Place 2,Civil,9/1/2014 - 8/31/2015,12,160,18,1325,1311,1,185,"AOC Statistical Report, FY2015"
Bell,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,2089,1,1902,2047,2,1943,"AOC Statistical Report, FY2015"
Bell,Precinct 4 Place 2,Civil,9/1/2014 - 8/31/2015,12,454,0,2527,2454,0,517,"AOC Statistical Report, FY2015"
Bexar,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,6585,1,3965,4458,46,6047,"AOC Statistical Report, FY2015"
Bexar,Precinct 1 Place 2,Civil,9/1/2014 - 8/31/2015,12,1343,0,2186,2435,0,1094,"AOC Statistical Report, FY2015"
Bexar,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,9546,0,4340,4378,0,9508,"AOC Statistical Report, FY2015"
Bexar,Precinct 2 Place 3,Civil,9/1/2014 - 8/31/2015,12,4790,0,4606,4043,0,5353,"AOC Statistical Report, FY2015"
Bexar,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,617,1,3354,2356,242,1374,"AOC Statistical Report, FY2015"
Bexar,Precinct 3 Place 2,Civil,9/1/2014 - 8/31/2015,12,1974,110,3067,2717,1057,1377,"AOC Statistical Report, FY2015"
Bexar,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,4626,0,2529,1800,148,5207,"AOC Statistical Report, FY2015"
Bexar,Precinct 4 Place 2,Civil,9/1/2014 - 8/31/2015,12,542,0,6048,5961,80,549,"AOC Statistical Report, FY2015"
Blanco,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,104,0,23,80,0,3,"AOC Statistical Report, FY2015"
Blanco,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,28,0,25,24,0,29,"AOC Statistical Report, FY2015"
Borden,Countywide,Civil,9/1/2014 - 8/31/2015,12,0,0,0,0,0,0,"AOC Statistical Report, FY2015"
Bosque,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,15,0,47,59,0,4,"AOC Statistical Report, FY2015"
Bosque,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,361,0,55,49,0,365,"AOC Statistical Report, FY2015"
Bowie,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,1240,0,963,1038,71,1130,"AOC Statistical Report, FY2015"
Bowie,Precinct 1 Place 2,Civil,9/1/2014 - 8/31/2015,12,4243,0,557,156,0,4353,"AOC Statistical Report, FY2015"
Bowie,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,30,0,57,36,0,55,"AOC Statistical Report, FY2015"
Bowie,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,15,0,42,38,0,13,"AOC Statistical Report, FY2015"
Bowie,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,12,0,17,11,0,18,"AOC Statistical Report, FY2015"
Bowie,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,18,0,49,44,0,23,"AOC Statistical Report, FY2015"
Bowie,Precinct 7 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Brazoria,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,368,0,843,786,0,424,"AOC Statistical Report, FY2015"
Brazoria,Precinct 1 Place 2,Civil,9/1/2014 - 8/31/2015,12,262,0,434,359,0,337,"AOC Statistical Report, FY2015"
Brazoria,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,231,0,690,670,0,242,"AOC Statistical Report, FY2015"
Brazoria,Precinct 2 Place 2,Civil,9/1/2014 - 8/31/2015,12,264,0,207,228,0,242,"AOC Statistical Report, FY2015"
Brazoria,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,179,0,844,776,0,249,"AOC Statistical Report, FY2015"
Brazoria,Precinct 3 Place 2,Civil,9/1/2014 - 8/31/2015,12,227,0,700,626,0,295,"AOC Statistical Report, FY2015"
Brazoria,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,192,0,509,428,0,272,"AOC Statistical Report, FY2015"
Brazoria,Precinct 4 Place 2,Civil,9/1/2014 - 8/31/2015,12,49,0,412,416,0,43,"AOC Statistical Report, FY2015"
Brazos,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,383,0,487,401,2,468,"AOC Statistical Report, FY2015"
Brazos,Precinct 2,Civil,9/1/2014 - 8/31/2015,8,0,0,409,304,0,245,"AOC Statistical Report, FY2015"
Brazos,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,4,61,1,0,56,0,0,"AOC Statistical Report, FY2015"
Brazos,Precinct 2 Place 2,Civil,9/1/2014 - 8/31/2015,4,55,0,211,133,0,0,"AOC Statistical Report, FY2015"
Brazos,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,1015,0,381,337,0,1059,"AOC Statistical Report, FY2015"
Brazos,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,241,0,445,384,0,303,"AOC Statistical Report, FY2015"
Brewster,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,430,0,94,61,0,448,"AOC Statistical Report, FY2015"
Brewster,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,4,0,6,7,0,3,"AOC Statistical Report, FY2015"
Brewster,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,0,0,0,0,"AOC Statistical Report, FY2015"
Briscoe,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,72,0,15,1,0,83,"AOC Statistical Report, FY2015"
Briscoe,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,1,1,0,0,"AOC Statistical Report, FY2015"
Brooks,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,17,0,19,1,0,247,"AOC Statistical Report, FY2015"
Brooks,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,141,0,10,8,0,222,"AOC Statistical Report, FY2015"
Brooks,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,4,3,0,2,"AOC Statistical Report, FY2015"
Brooks,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,13,0,5,6,0,42,"AOC Statistical Report, FY2015"
Brown,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,13,0,142,77,1,51,"AOC Statistical Report, FY2015"
Brown,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,447,0,144,528,0,39,"AOC Statistical Report, FY2015"
Brown,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,56,0,93,125,0,17,"AOC Statistical Report, FY2015"
Brown,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,21,0,109,75,0,37,"AOC Statistical Report, FY2015"
Burleson,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,61,0,35,17,0,79,"AOC Statistical Report, FY2015"
Burleson,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,11,0,23,20,0,14,"AOC Statistical Report, FY2015"
Burleson,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,23,0,50,37,0,36,"AOC Statistical Report, FY2015"
Burleson,Precinct 4,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Burnet,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,29,0,66,61,0,33,"AOC Statistical Report, FY2015"
Burnet,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,25,0,77,47,0,53,"AOC Statistical Report, FY2015"
Burnet,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,38,0,121,113,0,41,"AOC Statistical Report, FY2015"
Burnet,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,16,0,65,57,0,24,"AOC Statistical Report, FY2015"
Caldwell,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,316,0,141,99,0,352,"AOC Statistical Report, FY2015"
Caldwell,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,74,0,75,66,0,83,"AOC Statistical Report, FY2015"
Caldwell,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,125,0,55,48,0,125,"AOC Statistical Report, FY2015"
Caldwell,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,320,0,202,149,0,332,"AOC Statistical Report, FY2015"
Calhoun,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,33,0,57,57,0,14,"AOC Statistical Report, FY2015"
Calhoun,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,77,0,61,78,0,75,"AOC Statistical Report, FY2015"
Calhoun,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,47,0,38,39,0,22,"AOC Statistical Report, FY2015"
Calhoun,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,16,0,26,27,0,15,"AOC Statistical Report, FY2015"
Calhoun,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,8,0,6,6,0,9,"AOC Statistical Report, FY2015"
Callahan,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,170,0,64,64,1,171,"AOC Statistical Report, FY2015"
Callahan,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,11,0,39,44,0,9,"AOC Statistical Report, FY2015"
Callahan,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,2,0,13,15,0,1,"AOC Statistical Report, FY2015"
Cameron,Jail Magistrate Court,Civil,9/1/2014 - 8/31/2015,12,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Cameron,Precinct 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Cameron,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,1263,0,1238,748,0,1664,"AOC Statistical Report, FY2015"
Cameron,Precinct 2 Place 2,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Cameron,Precinct 2 Place 3,Civil,9/1/2014 - 8/31/2015,8,0,0,160,46,0,114,"AOC Statistical Report, FY2015"
Cameron,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,206,0,322,375,0,154,"AOC Statistical Report, FY2015"
Cameron,Precinct 3 Place 2,Civil,9/1/2014 - 8/31/2015,12,210,0,400,437,0,173,"AOC Statistical Report, FY2015"
Cameron,Precinct 4,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Cameron,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Cameron,Precinct 5 Place 2,Civil,9/1/2014 - 8/31/2015,12,374,0,389,419,0,344,"AOC Statistical Report, FY2015"
Cameron,Precinct 5 Place 3,Civil,9/1/2014 - 8/31/2015,12,40,0,107,113,0,34,"AOC Statistical Report, FY2015"
Camp,Countywide,Civil,9/1/2014 - 8/31/2015,12,353,2,120,108,2,345,"AOC Statistical Report, FY2015"
Carson,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,17,0,1,2,0,15,"AOC Statistical Report, FY2015"
Carson,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,22,0,19,15,0,27,"AOC Statistical Report, FY2015"
Cass,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,394,0,54,32,0,406,"AOC Statistical Report, FY2015"
Cass,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,29,0,39,38,0,33,"AOC Statistical Report, FY2015"
Cass,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,191,0,34,14,0,204,"AOC Statistical Report, FY2015"
Cass,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,238,0,45,46,0,248,"AOC Statistical Report, FY2015"
Castro,Countywide,Civil,9/1/2014 - 8/31/2015,12,19,1,58,48,10,20,"AOC Statistical Report, FY2015"
Chambers,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,130,0,51,32,0,131,"AOC Statistical Report, FY2015"
Chambers,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,263,0,50,27,0,272,"AOC Statistical Report, FY2015"
Chambers,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Chambers,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,99,0,90,88,0,99,"AOC Statistical Report, FY2015"
Chambers,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,34,0,15,4,0,41,"AOC Statistical Report, FY2015"
Chambers,Precinct 6 Place 1,Civil,9/1/2014 - 8/31/2015,12,87,0,141,105,0,108,"AOC Statistical Report, FY2015"
Cherokee,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,241,0,107,97,0,251,"AOC Statistical Report, FY2015"
Cherokee,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,164,0,79,33,0,208,"AOC Statistical Report, FY2015"
Cherokee,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,286,0,117,104,0,293,"AOC Statistical Report, FY2015"
Cherokee,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,33,0,102,93,0,33,"AOC Statistical Report, FY2015"
Childress,Countywide,Civil,9/1/2014 - 8/31/2015,12,480,0,40,26,0,494,"AOC Statistical Report, FY2015"
Clay,Countywide,Civil,9/1/2014 - 8/31/2015,12,0,0,42,0,0,88,"AOC Statistical Report, FY2015"
Cochran,Countywide,Civil,9/1/2014 - 8/31/2015,12,3,0,18,13,0,7,"AOC Statistical Report, FY2015"
Coke,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,20,0,10,6,0,23,"AOC Statistical Report, FY2015"
Coke,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,47,0,7,1,0,65,"AOC Statistical Report, FY2015"
Coleman,Countywide,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Collin,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,609,19,2537,2355,29,781,"AOC Statistical Report, FY2015"
Collin,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,279,21,969,957,84,294,"AOC Statistical Report, FY2015"
Collin,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,1937,5,3405,3416,11,1947,"AOC Statistical Report, FY2015"
Collin,Precinct 3 Place 2,Civil,9/1/2014 - 8/31/2015,12,1217,1,2123,1782,2,1530,"AOC Statistical Report, FY2015"
Collin,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,590,55,2932,2838,64,676,"AOC Statistical Report, FY2015"
Collingsworth,Countywide,Civil,9/1/2014 - 8/31/2015,12,0,0,12,7,0,5,"AOC Statistical Report, FY2015"
Colorado,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,507,0,50,29,0,524,"AOC Statistical Report, FY2015"
Colorado,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,312,0,29,27,0,317,"AOC Statistical Report, FY2015"
Colorado,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,98,0,37,38,0,100,"AOC Statistical Report, FY2015"
Colorado,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,239,0,39,41,0,235,"AOC Statistical Report, FY2015"
Comal,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,61,0,174,165,0,66,"AOC Statistical Report, FY2015"
Comal,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,138,0,96,133,0,93,"AOC Statistical Report, FY2015"
Comal,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,152,0,554,417,0,291,"AOC Statistical Report, FY2015"
Comal,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,74,0,186,197,0,67,"AOC Statistical Report, FY2015"
Comanche,Countywide,Civil,9/1/2014 - 8/31/2015,12,757,0,79,62,0,762,"AOC Statistical Report, FY2015"
Concho,Countywide,Civil,9/1/2014 - 8/31/2015,12,3,0,13,12,0,5,"AOC Statistical Report, FY2015"
Cooke,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,425,0,403,319,0,667,"AOC Statistical Report, FY2015"
Cooke,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,20,0,61,48,0,29,"AOC Statistical Report, FY2015"
Coryell,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,112,0,289,301,0,100,"AOC Statistical Report, FY2015"
Coryell,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,67,0,250,238,0,79,"AOC Statistical Report, FY2015"
Coryell,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,1,0,128,92,0,34,"AOC Statistical Report, FY2015"
Coryell,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,15,0,54,58,0,12,"AOC Statistical Report, FY2015"
Cottle,Countywide,Civil,9/1/2014 - 8/31/2015,12,58,0,18,2,0,75,"AOC Statistical Report, FY2015"
Crane,Countywide,Civil,9/1/2014 - 8/31/2015,12,9,0,26,19,0,16,"AOC Statistical Report, FY2015"
Crockett,Countywide,Civil,9/1/2014 - 8/31/2015,12,112,0,49,68,0,92,"AOC Statistical Report, FY2015"
Crosby,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,50,0,36,26,0,56,"AOC Statistical Report, FY2015"
Culberson,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,1,0,5,7,0,0,"AOC Statistical Report, FY2015"
Culberson,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Culberson,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,0,0,2,0,0,3,"AOC Statistical Report, FY2015"
Culberson,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Dallam,Countywide,Civil,9/1/2014 - 8/31/2015,12,152,1,59,58,0,156,"AOC Statistical Report, FY2015"
Dallas,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,442,5,11360,11382,7,482,"AOC Statistical Report, FY2015"
Dallas,Precinct 1 Place 2,Civil,9/1/2014 - 8/31/2015,12,264,21,3535,3492,91,507,"AOC Statistical Report, FY2015"
Dallas,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,421,0,6132,5887,0,666,"AOC Statistical Report, FY2015"
Dallas,Precinct 2 Place 2,Civil,9/1/2014 - 8/31/2015,12,324,0,3638,3743,6,469,"AOC Statistical Report, FY2015"
Dallas,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,12,1167,3,5765,5670,45,1257,"AOC Statistical Report, FY2015"
Dallas,Precinct 3 Place 2,Civil,9/1/2014 - 8/31/2015,12,1409,0,6074,4830,0,2653,"AOC Statistical Report, FY2015"
Dallas,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,12,1891,35,5636,5285,33,2243,"AOC Statistical Report, FY2015"
Dallas,Precinct 4 Place 2,Civil,9/1/2014 - 8/31/2015,12,1505,0,4841,4854,0,1492,"AOC Statistical Report, FY2015"
Dallas,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,247,0,3149,3835,9,30,"AOC Statistical Report, FY2015"
Dallas,Precinct 5 Place 2,Civil,9/1/2014 - 8/31/2015,12,1847,20,5135,7976,663,1272,"AOC Statistical Report, FY2015"
Dawson,Countywide,Civil,9/1/2014 - 8/31/2015,12,518,0,122,148,0,519,"AOC Statistical Report, FY2015"
De Witt,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,89,0,111,87,0,113,"AOC Statistical Report, FY2015"
De Witt,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,48,0,50,61,0,43,"AOC Statistical Report, FY2015"
Deaf Smith,Countywide,Civil,9/1/2014 - 8/31/2015,12,408,0,160,500,0,90,"AOC Statistical Report, FY2015"
Delta,Precinct 5 Place 1,Civil,9/1/2014 - 8/31/2015,12,108,0,51,41,0,239,"AOC Statistical Report, FY2015"
Denton,Precinct 1,Civil,9/1/2014 - 8/31/2015,12,1868,1,2034,1984,2,1916,"AOC Statistical Report, FY2015"
Denton,Precinct 2,Civil,9/1/2014 - 8/31/2015,12,366,139,1376,1413,150,324,"AOC Statistical Report, FY2015"
Denton,Precinct 3,Civil,9/1/2014 - 8/31/2015,12,559,173,2436,2481,201,500,"AOC Statistical Report, FY2015"
Denton,Precinct 4,Civil,9/1/2014 - 8/31/2015,12,227,26,955,928,32,260,"AOC Statistical Report, FY2015"
Denton,Precinct 5,Civil,9/1/2014 - 8/31/2015,12,802,0,1101,1046,0,876,"AOC Statistical Report, FY2015"
Denton,Precinct 6,Civil,9/1/2014 - 8/31/2015,12,558,39,3482,3523,68,547,"AOC Statistical Report, FY2015"
Dickens,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,12,1,0,6,8,0,0,"AOC Statistical Report, FY2015"
Dimmit,Precinct 1 Place 1,Civil,9/1/2014 - 8/31/2015,5,172,0,22,56,0,0,"AOC Statistical Report, FY2015"
Dimmit,Precinct 2 Place 1,Civil,9/1/2014 - 8/31/2015,5,125,0,4,1,0,0,"AOC Statistical Report, FY2015"
Dimmit,Precinct 3 Place 1,Civil,9/1/2014 - 8/31/2015,4,8,0,0,0,0,0,"AOC Statistical Report, FY2015"
Dimmit,Precinct 4 Place 1,Civil,9/1/2014 - 8/31/2015,0,.,.,.,.,.,.,"AOC Statistical Report, FY2015"
Donley,Precincts 1 & 2 Place 1,Civil,9/1/2014 - 8/31/2015,12,267,0,46,48,0,342,"AOC Statistical Report, FY2015"
